Date,Start (ET),Visitor/Neutral,AwayPTS,Home/Neutral,HomePTS, , ,Attend.,Notes,HomeWin,AwayWin
2009-11-23,0 days 10:30:00.000000000,Minnesota Timberwolves,87,Los Angeles Clippers,91,Box Score,,"13,815",,1,0
2009-11-24,0 days 07:00:00.000000000,Indiana Pacers,112,Toronto Raptors,123,Box Score,,"17,136",,1,0
2009-11-24,0 days 07:00:00.000000000,Philadelphia 76ers,107,Washington Wizards,108,Box Score,,"14,485",,1,0
2009-11-24,0 days 08:30:00.000000000,Golden State Warriors,111,Dallas Mavericks,103,Box Score,,"20,008",,0,1
2009-11-24,0 days 09:00:00.000000000,New Jersey Nets,87,Denver Nuggets,101,Box Score,,"16,307",,1,0
2009-11-24,0 days 09:00:00.000000000,Oklahoma City Thunder,104,Utah Jazz,94,Box Score,,"17,937",,0,1
2009-11-24,0 days 10:30:00.000000000,New York Knicks,90,Los Angeles Lakers,100,Box Score,,"18,997",,1,0
2009-11-25,0 days 07:00:00.000000000,Toronto Raptors,81,Charlotte Bobcats,116,Box Score,,"13,689",,1,0
2009-11-25,0 days 07:00:00.000000000,Los Angeles Clippers,73,Indiana Pacers,86,Box Score,,"12,356",,1,0
2009-11-25,0 days 07:30:00.000000000,Philadelphia 76ers,110,Boston Celtics,113,Box Score,,"18,624",,1,0
2009-11-25,0 days 07:30:00.000000000,Miami Heat,99,Orlando Magic,98,Box Score,,"17,461",,0,1
2009-11-25,0 days 08:00:00.000000000,Cleveland Cavaliers,98,Detroit Pistons,88,Box Score,,"22,076",,0,1
2009-11-25,0 days 08:00:00.000000000,Denver Nuggets,124,Minnesota Timberwolves,111,Box Score,,"13,101",,0,1
2009-11-25,0 days 08:00:00.000000000,Milwaukee Bucks,99,New Orleans Hornets,102,Box Score,OT,"14,315",,1,0
2009-11-25,0 days 08:30:00.000000000,Dallas Mavericks,130,Houston Rockets,99,Box Score,,"18,157",,0,1
2009-11-25,0 days 08:30:00.000000000,Golden State Warriors,104,San Antonio Spurs,118,Box Score,,"17,606",,1,0
2009-11-25,0 days 09:00:00.000000000,Memphis Grizzlies,111,Phoenix Suns,126,Box Score,,"18,284",,1,0
2009-11-25,0 days 10:00:00.000000000,New Jersey Nets,83,Portland Trail Blazers,93,Box Score,,"20,322",,1,0
2009-11-25,0 days 10:00:00.000000000,New York Knicks,97,Sacramento Kings,111,Box Score,,"11,375",,1,0
2009-11-26,0 days 08:00:00.000000000,Orlando Magic,93,Atlanta Hawks,76,Box Score,,"19,193",,0,1
2009-11-26,0 days 10:30:00.000000000,Chicago Bulls,86,Utah Jazz,105,Box Score,,"18,045",,1,0
2009-11-27,0 days 07:00:00.000000000,Cleveland Cavaliers,87,Charlotte Bobcats,94,Box Score,,"19,168",,1,0
2009-11-27,0 days 07:00:00.000000000,Washington Wizards,94,Miami Heat,84,Box Score,,"17,684",,0,1
2009-11-27,0 days 07:30:00.000000000,Toronto Raptors,103,Boston Celtics,116,Box Score,,"18,624",,1,0
2009-11-27,0 days 07:30:00.000000000,Atlanta Hawks,100,Philadelphia 76ers,86,Box Score,,"12,984",,0,1
2009-11-27,0 days 08:00:00.000000000,Los Angeles Clippers,104,Detroit Pistons,96,Box Score,,"18,954",,0,1
